ts_ms,cache,ttfb_ms,bytes,model,hash
1756339703347,api,70,0,eleven_turbo_v2,8c56eca998d9aada77a198244c2c4a2be05c8b27
1756339703440,api,91,0,eleven_turbo_v2,f39999169c7441b30c1dd78c808b014f522afb2d
1756339703541,api,101,0,eleven_turbo_v2,35d99c24528986b0ebcddd5605fa3450a8437003
1756339703633,api,92,0,eleven_turbo_v2,fc33981137e35aaacea11fae59110668278852a1
1756339703700,api,65,0,eleven_turbo_v2,9f922771ab7ded609f2c33fbd4ed3cb5adcb1d9a
1756339703804,api,101,0,eleven_turbo_v2,499bd655587c2a68dad6dc301c493cb82f292510
1756339703862,api,55,0,eleven_turbo_v2,128d105562c152ca60d97ac52c7098513aeb09e3
1756339703960,api,95,0,eleven_turbo_v2,7b4e11d3c2835491f82c219043268c95c3eba33c
1756339704079,api,118,0,eleven_turbo_v2,ae2d02d23a0b14095d60efdc10f59116328a50e9
1756339704146,api,65,0,eleven_turbo_v2,fb90c52d8d5b7e1af97db74b10d90b014f19d6dc
1756339704199,api,51,0,eleven_turbo_v2,708eeed464d2d25e405f209c8503856b9aa2010a
1756339704263,api,63,0,eleven_turbo_v2,c5f113b06a7a8be36f2fca56c25509fa21233140
1756339704333,api,68,0,eleven_turbo_v2,f99ae5a9e44dc34187c61cd9943fe4e08e05a8ca
1756339704398,api,63,0,eleven_turbo_v2,68850fc0f8f7afdf57a5f6916a5ec6be883a5752
1756339704475,api,67,0,eleven_turbo_v2,c604bdd57ae1dd7436177f51a6d353a6eeee0152
1756339704580,api,103,0,eleven_turbo_v2,fd9a266da98e4552e4e02d322473817507220b98
1756339704653,api,70,0,eleven_turbo_v2,0994682f72a77b354fc73a49b650caec0ab75c43
1756339704710,api,55,0,eleven_turbo_v2,af98f6d444df8a1296507f0156f19a34aee41146
1756339704761,api,49,0,eleven_turbo_v2,157e1c8db3d835e7d4f37d7f5d569fccd3f15e44
1756339704863,api,101,0,eleven_turbo_v2,41d879d4c44c7734c0e7a123b3d53bcabc39a6db
1756339704930,api,66,0,eleven_turbo_v2,4a57b9dd734a7c0741187c06157b5829674fc4e4
1756339705014,api,81,0,eleven_turbo_v2,958b5e2ba17052e45ee7df949e04160306e54b83
1756339705057,api,43,0,eleven_turbo_v2,6afc89ded3ad4b0498c91fde53cd330799cf18ba
